stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
3,0,0,1,1058,913,0.0,0.0,0.0010940919037199124,1
7,0,0,0,302,227,0.0,0.0,0.0043859649122807015,1
3,0,0,1,490,480,0.0,0.0,0.002079002079002079,1
4,0,0,1,327,239,0.0,0.0,0.004166666666666667,1
1,2,0,1,573,314,0.0,1.0,0.0031746031746031746,1
7,0,6,2,2563,725,0.75,0.0,0.0013774104683195593,1
4,0,0,0,194,192,0.0,0.0,0.0051813471502590676,1
5,2,0,2,933,825,0.0,0.3333333333333333,0.0012106537530266344,1
2,0,0,1,589,371,0.0,0.0,0.002688172043010753,1
3,0,0,1,433,430,0.0,0.0,0.002320185614849188,1
5,0,0,1,654,654,0.0,0.0,0.0015267175572519084,1
3,0,0,1,924,919,0.0,0.0,0.0010869565217391304,1
2,1,0,1,994,946,0.0,0.3333333333333333,0.0010559662090813093,1
3,1,0,0,301,301,0.0,0.25,0.0033112582781456954,1
5,0,0,1,359,359,0.0,0.0,0.002777777777777778,1
2,0,0,1,469,469,0.0,0.0,0.002127659574468085,1
3,0,0,1,654,654,0.0,0.0,0.0015267175572519084,1
3,1,0,1,1029,1028,0.0,0.25,0.0009718172983479105,1
4,0,0,1,1171,1144,0.0,0.0,0.0008733624454148472,1
0,2,0,0,228,228,0.0,2.0,0.004366812227074236,1
45,10,1,3,624,418,0.021739130434782608,0.21739130434782608,0.002386634844868735,1
